,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
0,3.35,HF,tzv2p,-7.393083761908773,-7.412016566109793,-7.412016566109793,-0.018932804201019948,-0.018932804201019948
1,3.4,HF,tzv2p,-7.393057263557708,-7.412767424141114,-7.412767424141114,-0.019710160583406022,-0.019710160583406022
2,3.45,HF,tzv2p,-7.393024754292976,-7.41337483788115,-7.41337483788115,-0.02035008358817425,-0.02035008358817425
3,3.5,HF,tzv2p,-7.392985141203407,-7.413831719184769,-7.413831719184769,-0.020846577981362024,-0.020846577981362024
4,3.55,HF,tzv2p,-7.3929371725685185,-7.414155024258279,-7.414155024258279,-0.021217851689760536,-0.021217851689760536
5,3.6,HF,tzv2p,-7.392879428967559,-7.414364444007354,-7.414364444007354,-0.021485015039795385,-0.021485015039795385
6,3.65,HF,tzv2p,-7.392810318132415,-7.414466903492467,-7.414466903492467,-0.021656585360051217,-0.021656585360051217
0,3.35,CCSD,tzv2p,-7.431582842644517,-7.4816762681279005,-7.481664454825566,-0.050093425483383136,-0.05008161218104813
1,3.4,CCSD,tzv2p,-7.431547616703233,-7.481959134056254,-7.481947320753919,-0.050411517353021296,-0.05039970405068629
2,3.45,CCSD,tzv2p,-7.431506512424685,-7.48211488310163,-7.482103069799296,-0.05060837067694557,-0.050596557374610565
3,3.5,CCSD,tzv2p,-7.431458458077655,-7.482135563276942,-7.482123749974607,-0.05067710519928692,-0.05066529189695192
4,3.55,CCSD,tzv2p,-7.431402236091784,-7.4820373458139615,-7.482025532511627,-0.050635109722177774,-0.05062329641984277
5,3.6,CCSD,tzv2p,-7.431336470953132,-7.481839211293728,-7.481827397991394,-0.050502740340595764,-0.05049092703826076
6,3.65,CCSD,tzv2p,-7.431259621332514,-7.481547447151272,-7.481535633848938,-0.050287825818758236,-0.05027601251642323
0,3.35,DCSD,tzv2p,-7.431435180655893,-7.484693696079209,-7.484815467437089,-0.053258515423316055,-0.05338028678119551
1,3.4,DCSD,tzv2p,-7.431400009087445,-7.484949401538574,-7.485071172896454,-0.05354939245112966,-0.05367116380900912
2,3.45,DCSD,tzv2p,-7.4313589612927835,-7.4850790877913065,-7.485200859149186,-0.05372012649852298,-0.053841897856402435
3,3.5,DCSD,tzv2p,-7.431310965298178,-7.485074765663022,-7.485196537020902,-0.05376380036484374,-0.053885571722723194
4,3.55,DCSD,tzv2p,-7.431254803278091,-7.484952474366836,-7.485074245724716,-0.053697671088745125,-0.05381944244662458
5,3.6,DCSD,tzv2p,-7.431189099485356,-7.4847311626882576,-7.484852934046137,-0.05354206320290178,-0.053663834560781234
6,3.65,DCSD,tzv2p,-7.43111231240241,-7.484417059971735,-7.484538831329615,-0.05330474756932446,-0.05342651892720392
0,3.35,CCSDT,tzv2p,-7.431435180655893,-7.486087719117847,-7.486209490475727,-0.05465253846195406,-0.054774309819833514
1,3.4,CCSDT,tzv2p,-7.431400009087445,-7.486348613392078,-7.486470384749958,-0.05494860430463344,-0.055070375662512897
2,3.45,CCSDT,tzv2p,-7.4313589612927835,-7.486485010697919,-7.486606782055799,-0.055126049405135547,-0.055247820763015
3,3.5,CCSDT,tzv2p,-7.431310965298178,-7.486482439961118,-7.486604211318998,-0.0551714746629397,-0.055293246020819156
4,3.55,CCSDT,tzv2p,-7.431254803278091,-7.486363511155123,-7.486485282513003,-0.05510870787703226,-0.055230479234911714
5,3.6,CCSDT,tzv2p,-7.431189099485356,-7.486146866496982,-7.486268637854862,-0.05495776701162658,-0.055079538369506034
6,3.65,CCSDT,tzv2p,-7.43111231240241,-7.485834301980703,-7.485956073338583,-0.054721989578292884,-0.05484376093617234
0,3.35,CCSDT1b_ring,tzv2p,-7.431435180655893,-7.486699820086535,-7.486821591444415,-0.05526463943064197,-0.055386410788521426
1,3.4,CCSDT1b_ring,tzv2p,-7.431400009087445,-7.486925014571466,-7.487046785929346,-0.055525005484021506,-0.05564677684190096
2,3.45,CCSDT1b_ring,tzv2p,-7.4313589612927835,-7.487026925330025,-7.487148696687905,-0.055667964037241724,-0.05578973539512118
3,3.5,CCSDT1b_ring,tzv2p,-7.431310965298178,-7.486997400342142,-7.487119171700022,-0.05568643504396409,-0.055808206401843544
4,3.55,CCSDT1b_ring,tzv2p,-7.431254803278091,-7.486852765713868,-7.486974537071748,-0.05559796243577697,-0.055719733793656426
5,3.6,CCSDT1b_ring,tzv2p,-7.431189099485356,-7.4866024140165806,-7.48672418537446,-0.05541331453122478,-0.05553508588910423
6,3.65,CCSDT1b_ring,tzv2p,-7.43111231240241,-7.486279671258609,-7.486401442616489,-0.055167358856198945,-0.0552891302140784
0,3.35,DCSDT,tzv2p,-7.431435180655893,-7.486590902964692,-7.486712674322572,-0.055155722308798616,-0.05527749366667807
1,3.4,DCSDT,tzv2p,-7.431400009087445,-7.486848252494494,-7.486970023852374,-0.05544824340704935,-0.0555700147649288
2,3.45,DCSDT,tzv2p,-7.4313589612927835,-7.486978122894364,-7.4870998942522435,-0.0556191616015802,-0.05574093295945966
3,3.5,DCSDT,tzv2p,-7.431310965298178,-7.486976138699187,-7.4870979100570665,-0.055665173401008516,-0.05578694475888797
4,3.55,DCSDT,tzv2p,-7.431254803278091,-7.486850820536992,-7.4869725918948715,-0.05559601725890051,-0.055717788616779965
5,3.6,DCSDT,tzv2p,-7.431189099485356,-7.486631096279932,-7.4867528676378114,-0.05544199679457584,-0.0555637681524553
6,3.65,DCSDT,tzv2p,-7.43111231240241,-7.4863128434249795,-7.486434614782859,-0.055200531022569166,-0.05532230238044862
0,3.35,CCSDTviaCCSD,tzv2p,-7.431582842644517,-7.485205993538322,-7.485194180235988,-0.05362315089380498,-0.05361133759146998
1,3.4,CCSDTviaCCSD,tzv2p,-7.431547616703233,-7.48546670833101,-7.485454895028675,-0.05391909162777697,-0.05390727832544197
2,3.45,CCSDTviaCCSD,tzv2p,-7.431506512424685,-7.485602523896349,-7.485590710594014,-0.054096011471663985,-0.05408419816932898
3,3.5,CCSDTviaCCSD,tzv2p,-7.431458458077655,-7.4855993579260245,-7.48558754462369,-0.05414089984836945,-0.05412908654603445
4,3.55,CCSDTviaCCSD,tzv2p,-7.431402236091784,-7.485479577227838,-7.485467763925503,-0.054077341136054,-0.054065527833719
5,3.6,CCSDTviaCCSD,tzv2p,-7.431336470953132,-7.485262084656975,-7.485250271354641,-0.053925613703842856,-0.05391380040150785
6,3.65,CCSDTviaCCSD,tzv2p,-7.431259621332514,-7.484948608105665,-7.48493679480333,-0.05368898677315048,-0.05367717347081548
0,3.35,CCSDT1b_ringviaCCSD,tzv2p,-7.431582842644517,-7.48581809450701,-7.485806281204676,-0.054235251862492895,-0.05422343856015789
1,3.4,CCSDT1b_ringviaCCSD,tzv2p,-7.431547616703233,-7.486043109510398,-7.486031296208063,-0.054495492807165036,-0.05448367950483003
2,3.45,CCSDT1b_ringviaCCSD,tzv2p,-7.431506512424685,-7.486144438528455,-7.48613262522612,-0.05463792610377016,-0.05462611280143516
3,3.5,CCSDT1b_ringviaCCSD,tzv2p,-7.431458458077655,-7.486114318307049,-7.486102505004714,-0.05465586022939384,-0.054644046927058834
4,3.55,CCSDT1b_ringviaCCSD,tzv2p,-7.431402236091784,-7.4859688317865825,-7.485957018484248,-0.054566595694798714,-0.05455478239246371
5,3.6,CCSDT1b_ringviaCCSD,tzv2p,-7.431336470953132,-7.4857176321765735,-7.485705818874239,-0.054381161223441055,-0.05436934792110605
6,3.65,CCSDT1b_ringviaCCSD,tzv2p,-7.431259621332514,-7.485393977383571,-7.485382164081236,-0.05413435605105654,-0.05412254274872154
0,3.35,HF,qzv3p,-7.393301721664726,-7.412258441111124,-7.412258441111124,-0.018956719446397763,-0.018956719446397763
1,3.4,HF,qzv3p,-7.39329817008965,-7.413009459206622,-7.413009459206622,-0.019711289116972175,-0.019711289116972175
2,3.45,HF,qzv3p,-7.393293722560504,-7.413617592673289,-7.413617592673289,-0.020323870112784803,-0.020323870112784803
3,3.5,HF,qzv3p,-7.393288139376272,-7.414076164295394,-7.414076164295394,-0.02078802491912146,-0.02078802491912146
4,3.55,HF,qzv3p,-7.39328112503219,-7.414402712592096,-7.414402712592096,-0.021121587559906452,-0.021121587559906452
5,3.6,HF,qzv3p,-7.393272319826237,-7.4146177054946625,-7.4146177054946625,-0.021345385668425365,-0.021345385668425365
6,3.65,HF,qzv3p,-7.393261291577749,-7.414729059001202,-7.414729059001202,-0.021467767423452244,-0.021467767423452244
0,3.35,CCSD,qzv3p,-7.4343985012531215,-7.484820353948366,-7.484808540646031,-0.05042185269524424,-0.05041003939290924
1,3.4,CCSD,qzv3p,-7.434393974122773,-7.485101474868885,-7.48508966156655,-0.05070750074611219,-0.050695687443777185
2,3.45,CCSD,qzv3p,-7.434388641839641,-7.485254157456125,-7.48524234415379,-0.05086551561648367,-0.050853702314148666
3,3.5,CCSD,qzv3p,-7.43438227709812,-7.485273983012028,-7.485262169709693,-0.05089170591390779,-0.05087989261157279
4,3.55,CCSD,qzv3p,-7.434374596828152,-7.4851765764632665,-7.485164763160932,-0.050801979635114236,-0.05079016633277923
5,3.6,CCSD,qzv3p,-7.43436525497546,-7.484981606747697,-7.484969793445362,-0.05061635177223689,-0.050604538469901886
6,3.65,CCSD,qzv3p,-7.434353835059285,-7.484696265910095,-7.484684452607761,-0.05034243085081069,-0.05033061754847569
0,3.35,DCSD,qzv3p,-7.434205541097008,-7.487849538867237,-7.487971310225117,-0.05364399777022921,-0.05376576912810867
1,3.4,DCSD,qzv3p,-7.434200993038492,-7.488103369886231,-7.4882251412441105,-0.05390237684773869,-0.05402414820561814
2,3.45,DCSD,qzv3p,-7.434195639017224,-7.488232071938776,-7.488353843296656,-0.05403643292155191,-0.05415820427943137
3,3.5,DCSD,qzv3p,-7.43418925269732,-7.488228036430091,-7.488349807787971,-0.05403878373277138,-0.05416055509065083
4,3.55,DCSD,qzv3p,-7.434181551783387,-7.488107818286302,-7.488229589644182,-0.05392626650291543,-0.05404803786079489
5,3.6,DCSD,qzv3p,-7.434172190804945,-7.487891036217559,-7.488012807575439,-0.053718845412613625,-0.05384061677049308
6,3.65,DCSD,qzv3p,-7.4341607536961325,-7.487584810143764,-7.4877065815016435,-0.05342405644763115,-0.05354582780551061
