,rs,baldereschi,N,E_CCSD_corr_cbs_pe,E_CCSD_corr_cbs_pe_err
0,0.1,True,14,-0.03344165967339,1.7033386983292265e-05
1,0.1,True,34,-0.0526466460264501,1.7042584921552115e-05
2,0.1,True,70,-0.064645849366586,1.7043332480793052e-05
3,0.1,True,156,-0.0757042111183266,1.7601029016748463e-05
4,0.1,True,332,-0.0875501835659312,3.5817400982279755e-05
5,0.1,True,700,-0.0964989348961277,0.0004828344814195
6,0.1,True,1404,-0.1025847072196887,0.0009990958680272
7,0.1,True,2824,-0.1083721934141334,0.0020276327583318
8,1.0,True,14,-0.0280550054505777,3.988343595474897e-06
9,1.0,True,34,-0.0389905960723728,4.0318908573857656e-06
10,1.0,True,70,-0.0441570718534753,4.034166597926807e-06
11,1.0,True,156,-0.0477514698213557,6.813796845282202e-06
12,1.0,True,332,-0.0507127749939023,2.7806126915787617e-05
13,1.0,True,700,-0.052599723717901,6.872804879494673e-05
14,1.0,True,1404,-0.053598331790043,0.000120002019874
15,2.0,True,14,-0.0235463905343439,2.2947359037371606e-06
16,2.0,True,34,-0.0304442670288051,2.3256850970489188e-06
17,2.0,True,70,-0.0333955375885362,2.3458021108849083e-06
18,2.0,True,156,-0.035307006796514,7.307161009707002e-06
19,2.0,True,332,-0.0367866042647159,2.1499619215733547e-05
20,2.0,True,700,-0.0377178083755571,4.219727633726504e-05
21,2.0,True,1404,-0.0381949450071579,7.806329753316839e-05
22,3.0,True,14,-0.020188542347615,1.404083238142062e-06
23,3.0,True,34,-0.0250325810112096,1.411635798502549e-06
24,3.0,True,70,-0.0270295345606918,1.517113357332425e-06
25,3.0,True,156,-0.0282891339942123,7.91703106210749e-06
26,3.0,True,332,-0.0292364787144673,1.840699237250455e-05
27,3.0,True,700,-0.0298325909538597,3.025007793438912e-05
28,3.0,True,1404,-0.0301359633986778,5.897565774536216e-05
29,4.0,True,14,-0.0176306044790507,9.06037189062764e-07
30,4.0,True,34,-0.0212809638938037,9.061877580952998e-07
31,4.0,True,70,-0.0227644843859683,1.1147447036363163e-06
32,4.0,True,156,-0.0236888949585958,8.144362043269427e-06
33,4.0,True,332,-0.02437191048437,1.6382016030100644e-05
34,4.0,True,700,-0.0248023288994781,2.3613611620104164e-05
35,4.0,True,1404,-0.0250215227567306,4.7641640895535366e-05
36,5.0,True,14,-0.0156320473477147,6.111749868316363e-07
37,5.0,True,34,-0.0185208807126601,6.147909466327761e-07
38,5.0,True,70,-0.0196898635887247,9.010608123802148e-07
39,5.0,True,156,-0.0204136500166965,8.10720224265341e-06
40,5.0,True,332,-0.0209417045523144,1.4851198330352711e-05
41,5.0,True,700,-0.0212750126209273,1.9633173290982915e-05
42,5.0,True,1404,-0.0214453385067724,4.017707553299147e-05
43,10.0,True,14,-0.0099486466558091,1.7191757947267186e-07
44,10.0,True,34,-0.0112768524107467,2.0739308511013067e-07
45,10.0,True,70,-0.0118237424591069,4.564047391985413e-07
46,10.0,True,156,-0.0121592334521965,5.812534372745856e-06
47,10.0,True,332,-0.0125202211423124,0.0001948940932846
48,10.0,True,700,-0.0126875013395514,0.0002018661456884
49,10.0,True,1404,-0.0127332715031519,0.0002020534392298
