,rs,baldereschi,N,E_CCSD_s_corr_cbs_pe,E_CCSD_s_corr_cbs_pe_err
0,0.5,False,14,-0.0099392038727503,2.7199420247342454e-08
1,0.5,False,38,-0.0138249606636153,8.353337687967573e-08
2,0.5,False,54,-0.0128187883138457,8.370868482258807e-08
3,0.5,False,66,-0.0168835755269474,1.3394399668351674e-07
4,0.5,False,114,-0.0206561399588779,2.094388840931577e-07
5,1.0,False,14,-0.0083462922421316,2.7077298125899322e-08
6,1.0,False,38,-0.0111940245583895,1.0684472317498876e-07
7,1.0,False,54,-0.0107182966067514,1.1003470421710917e-07
8,1.0,False,66,-0.0132534421826597,1.659720897122159e-07
9,1.0,False,114,-0.0154032436780831,3.6019328253265137e-07
10,2.0,False,14,-0.0062618712322474,3.459273746359709e-08
11,2.0,False,38,-0.0081607935026359,1.3264651153648974e-07
12,2.0,False,54,-0.008037506902436,1.4535458798370998e-07
13,2.0,False,66,-0.0093836483305394,2.259830223214277e-07
14,2.0,False,114,-0.0104998611675354,4.544952822498054e-07
15,5.0,False,14,-0.0035571041860861,3.2278067808432654e-08
16,5.0,False,38,-0.0045533772067377,1.0410913539630321e-07
17,5.0,False,54,-0.0045713366187025,1.0860553042253381e-07
18,5.0,False,66,-0.0050864279610508,1.5672198943604113e-07
19,5.0,False,114,-0.0055305902408737,2.8355037277311545e-07
