,rs,baldereschi,N,E_CCSD_os_corr_cbs_pe,E_CCSD_os_corr_cbs_pe_err,E_CCSD_s_corr_cbs_pe,E_CCSD_s_corr_cbs_pe_err,E_CCSD_scs_corr_cbs_pe,E_CCSD_scs_corr_cbs_pe_err
0,0.5,False,14,-0.0320860483988468,5.197334519042862e-06,-0.0099392038727503,2.7199420247342454e-08,-0.0519805818427432,6.600686397389792e-06
1,0.5,False,38,-0.0337906325079747,5.223733315076597e-06,-0.0138249606636153,8.353337687967574e-08,-0.0585363088350131,6.634812801263703e-06
2,0.5,False,54,-0.0315177711421464,5.224133543062497e-06,-0.0128187883138457,8.370868482258808e-08,-0.0545128001451715,6.63532386042483e-06
3,0.5,False,66,-0.0371308121674963,5.226021879704272e-06,-0.0168835755269474,1.3394399668351674e-07,-0.0662345717981708,6.638773394645681e-06
4,0.5,False,114,-0.0430285264641809,5.814587493149708e-06,-0.0206561399588779,2.094388840931577e-07,-0.0779876667630417,7.388317584471676e-06
5,1.0,False,14,-0.0283575246838931,3.7526161430732896e-06,-0.0083462922421316,2.7077298125899322e-08,-0.0454453665821529,4.7659207206347455e-06
6,1.0,False,38,-0.0290600223209349,3.843496152058854e-06,-0.0111940245583895,1.0684472317498876e-07,-0.0495554760985674,4.882733032877221e-06
7,1.0,False,54,-0.0276501480625926,3.843963267896513e-06,-0.0107182966067514,1.1003470421710917e-07,-0.0472273632051216,4.883416539675994e-06
8,1.0,False,66,-0.0312563326249473,3.851537932824024e-06,-0.0132534421826597,1.659720897122159e-07,-0.0546719321000885,4.89504735273468e-06
9,1.0,False,114,-0.0348536265240649,4.740114969584087e-06,-0.0154032436780831,3.6019328253265137e-07,-0.0616697710417963,6.033689912923038e-06
10,2.0,False,14,-0.0229467536582395,2.081541536948228e-06,-0.0062618712322474,3.459273746359709e-08,-0.0362182916384037,2.6438467428543733e-06
11,2.0,False,38,-0.0229027909332236,2.315871644808838e-06,-0.0081607935026359,1.3264651153648974e-07,-0.0383082411431725,2.9449739579130787e-06
12,2.0,False,54,-0.0221870305080923,2.316692341190185e-06,-0.008037506902436,1.4535458798371e-07,-0.0372599115450299,2.9467804212746978e-06
13,2.0,False,66,-0.0241232123589535,2.32146548795279e-06,-0.0093836483305394,2.259830223214277e-07,-0.0412400023093804,2.959299422280978e-06
14,2.0,False,114,-0.0260334884855571,2.887640552748259e-06,-0.0104998611675354,4.544952822498054e-07,-0.0449273734959725,3.703090473113113e-06
15,5.0,False,14,-0.0145518845482179,5.233193376159156e-07,-0.0035571041860861,3.2278067808432654e-08,-0.022500421106514,6.656156619554567e-07
16,5.0,False,38,-0.0141920751952221,8.379756059678555e-07,-0.0045533772067377,1.0410913539630321e-07,-0.0231692517415456,1.0707116126952323e-06
17,5.0,False,54,-0.0139531228866914,8.38038029721632e-07,-0.0045713366187025,1.0860553042253381e-07,-0.0228860764452319,1.071360534104769e-06
18,5.0,False,66,-0.0146263280513473,8.689585904042745e-07,-0.0050864279610508,1.5672198943604113e-07,-0.0243231002211984,1.117696756214123e-06
19,5.0,False,114,-0.0153210940817105,8.728707951471517e-07,-0.0055305902408737,2.8355037277311545e-07,-0.0257073564559596,1.153922802220626e-06
