,rs,baldereschi,N,E_DCSD_corr_cbs_pe,E_DCSD_corr_cbs_pe_err
0,0.1,1.0,14,-0.0334465052942586,1.70349652515861e-05
1,0.1,1.0,34,-0.0526709237151301,1.7043948088768073e-05
2,0.1,1.0,70,-0.0646946064693883,1.7048862705156136e-05
3,0.1,1.0,156,-0.0757896542279301,1.7117295007588578e-05
4,0.1,1.0,332,-0.0876776579524687,2.7408004479171167e-05
5,0.1,1.0,700,-0.0967599676187742,0.0002950287297674
6,0.1,1.0,1404,-0.1027762137816417,0.0004519762811591
7,0.1,1.0,2824,-0.1078846780142419,0.0022578105710479
8,1.0,1.0,14,-0.028332218484468,3.567477461847296e-06
9,1.0,1.0,34,-0.0397994006336418,3.644229736908828e-06
10,1.0,1.0,70,-0.0453129140688468,3.678003648700393e-06
11,1.0,1.0,156,-0.049177091185145,3.803838986434202e-06
12,1.0,1.0,332,-0.0524024977332468,6.765241386082683e-06
13,1.0,1.0,700,-0.054449571500596,2.252639126554536e-05
14,1.0,1.0,1404,-0.05552232012408,6.282540951149682e-05
15,2.0,1.0,14,-0.0241865075693808,2.0397128990441715e-06
16,2.0,1.0,34,-0.0318346965090909,2.106076579263057e-06
17,2.0,1.0,70,-0.0351568009540425,2.11842474633245e-06
18,2.0,1.0,156,-0.0373115633274133,2.647551872472289e-06
19,2.0,1.0,332,-0.0390063494968924,8.542352299571481e-06
20,2.0,1.0,700,-0.0400583960434506,2.66240171682211e-05
21,2.0,1.0,1404,-0.0405849353793682,4.692346194229151e-05
22,3.0,1.0,14,-0.0210810233736652,1.2242141719694122e-06
23,3.0,1.0,34,-0.0266744276464314,1.2597684494411913e-06
24,3.0,1.0,70,-0.0289947140018445,1.260446110556948e-06
25,3.0,1.0,156,-0.030452699449991,2.294905960385096e-06
26,3.0,1.0,332,-0.0315684378820582,1.0959764045256038e-05
27,3.0,1.0,700,-0.0322547949761167,2.828836150876235e-05
28,3.0,1.0,1404,-0.0325904091465158,4.17078899363576e-05
29,4.0,1.0,14,-0.01867336555967,7.67000101788845e-07
30,4.0,1.0,34,-0.0230096893924497,7.808954701802188e-07
31,4.0,1.0,70,-0.0247673565687513,7.82801503187977e-07
32,4.0,1.0,156,-0.0258543508953818,2.14374256421517e-06
33,4.0,1.0,332,-0.0266728939677169,1.2636736519220308e-05
34,4.0,1.0,700,-0.0271730264759066,2.7983562667460052e-05
35,4.0,1.0,1404,-0.0274138855001851,3.828210020603092e-05
36,5.0,1.0,14,-0.0167556941396053,4.987190985288048e-07
37,5.0,1.0,34,-0.0202571388924046,5.020578132369202e-07
38,5.0,1.0,70,-0.0216596679520233,5.112773356646638e-07
39,5.0,1.0,156,-0.0225192261695863,2.0039435898784067e-06
40,5.0,1.0,332,-0.023159702531263,1.3611530457354492e-05
41,5.0,1.0,700,-0.0235485953755054,2.715748395761732e-05
42,5.0,1.0,1404,-0.0237338234574981,3.564586033682555e-05
