,rs,baldereschi,N,E_DCSD_corr_cbs_pe,E_DCSD_corr_cbs_pe_err
0,0.5,False,14,-0.0422840509806116,5.237618117812093e-06
1,0.5,False,38,-0.048046609413393,5.259482080707908e-06
2,0.5,False,54,-0.0446088311288066,5.260051899277157e-06
3,0.5,False,66,-0.054625948772888,5.274327918842898e-06
4,0.5,False,114,-0.0648410344721383,5.69613015154978e-06
5,1.0,False,14,-0.0373618915336245,3.794165063540633e-06
6,1.0,False,38,-0.0411760757850028,3.8695922306771446e-06
7,1.0,False,54,-0.0390415336190656,3.870013382984552e-06
8,1.0,False,66,-0.0456962197217112,3.872097593745983e-06
9,1.0,False,114,-0.052097479279185,4.669190050326274e-06
10,2.0,False,14,-0.0304549421606113,2.0996030501915786e-06
11,2.0,False,38,-0.0325488597516838,2.288277631534704e-06
12,2.0,False,54,-0.0314613546847838,2.288970966691637e-06
13,2.0,False,66,-0.0352687673008194,2.292695863579023e-06
14,2.0,False,114,-0.0388696025651899,3.0127088528463285e-06
15,5.0,False,14,-0.0198127805903889,4.923724682727448e-07
16,5.0,False,38,-0.0205219043683973,7.416082172306942e-07
17,5.0,False,54,-0.0201632558280562,7.419432599970223e-07
18,5.0,False,66,-0.0216663090445761,7.553924504707763e-07
19,5.0,False,114,-0.0231312497969006,7.786652872744712e-07
