,rs,baldereschi,N,E_DCSD_s_corr_cbs_pe,E_DCSD_s_corr_cbs_pe_err
0,0.5,False,14,-0.0100164873049021,3.2650294259917174e-08
1,0.5,False,38,-0.0139723860853189,6.549038935232696e-08
2,0.5,False,54,-0.0129110385011845,6.62012430245231e-08
3,0.5,False,66,-0.017104915233614,1.9573246185851906e-07
4,0.5,False,114,-0.0210570527880004,3.714190617138751e-07
5,1.0,False,14,-0.008530761044437,3.733044942957897e-08
6,1.0,False,38,-0.0114875855821203,7.731034687042717e-08
7,1.0,False,54,-0.0109353898219081,8.688733290251461e-08
8,1.0,False,66,-0.013651488776191,2.342045713758897e-07
9,1.0,False,114,-0.0159764135791308,5.436131834556822e-07
10,2.0,False,14,-0.0065737300257117,4.6742039169767053e-08
11,2.0,False,38,-0.0085885724250949,9.440343173917359e-08
12,2.0,False,54,-0.0084084875198396,1.1769143673617817e-07
13,2.0,False,66,-0.0099187422677049,2.807997279261028e-07
14,2.0,False,114,-0.0111547192107569,6.543486912230241e-07
15,5.0,False,14,-0.0038990925813121,3.916841464102899e-08
16,5.0,False,38,-0.0050035955714249,7.840368478923226e-08
17,5.0,False,54,-0.0050104621420318,8.749881805672362e-08
18,5.0,False,66,-0.0056102017114278,1.755778214548613e-07
19,5.0,False,114,-0.0061104258035039,3.710734985269927e-07
