,rs,baldereschi,N,E_DCSD_os_corr_cbs_pe,E_DCSD_os_corr_cbs_pe_err,E_DCSD_s_corr_cbs_pe,E_DCSD_s_corr_cbs_pe_err,E_DCSD_scs_corr_cbs_pe,E_DCSD_scs_corr_cbs_pe_err
0,0.5,False,14,-0.0322675636757095,5.204967823559115e-06,-0.0100164873049021,3.2650294259917174e-08,-0.0453999022601323,5.465345196233576e-06
1,0.5,False,38,-0.0340742233280741,5.232477024389366e-06,-0.0139723860853189,6.549038935232696e-08,-0.0518461784925945,5.494617058730501e-06
2,0.5,False,54,-0.031697792627622,5.232915579676409e-06,-0.0129110385011845,6.62012430245231e-08,-0.0481303765353652,5.495088763490226e-06
3,0.5,False,66,-0.037521033539274,5.236874991144132e-06,-0.017104915233614,1.9573246185851906e-07,-0.0590677377348938,5.503323936211364e-06
4,0.5,False,114,-0.0437839816841379,5.788774832964273e-06,-0.0210570527880004,3.714190617138751e-07,-0.0701887914745452,6.093202929208565e-06
5,1.0,False,14,-0.0288311304891875,3.756834614117993e-06,-0.008530761044437,3.733044942957897e-08,-0.0400830622147494,3.944909942160837e-06
6,1.0,False,38,-0.0296884902028825,3.84699754792826e-06,-0.0114875855821203,7.731034687042717e-08,-0.0443836381324649,4.040325736762973e-06
7,1.0,False,54,-0.0281061437971574,3.847568330785655e-06,-0.0109353898219081,8.688733290251461e-08,-0.0420871492822095,4.041182229758992e-06
8,1.0,False,66,-0.0320447309455201,3.857619778650383e-06,-0.013651488776191,2.342045713758897e-07,-0.0493461795854157,4.059445522346279e-06
9,1.0,False,114,-0.0361210657000542,4.948752945436835e-06,-0.0159764135791308,5.436131834556822e-07,-0.0562999946010573,5.233661782255959e-06
10,2.0,False,14,-0.0238812121348995,2.0528610110148726e-06,-0.0065737300257117,4.674203916976705e-08,-0.0326350622712129,2.1561742001817523e-06
11,2.0,False,38,-0.0239602873265889,2.279934817948877e-06,-0.0085885724250949,9.44034317391736e-08,-0.0350351599817774,2.3963919627056093e-06
12,2.0,False,54,-0.0230528671649442,2.2834478239869687e-06,-0.0084084875198396,1.1769143673617817e-07,-0.0338752711710069,2.40143727931977e-06
13,2.0,False,66,-0.0253500250331144,2.315773835824177e-06,-0.0099187422677049,2.807997279261028e-07,-0.0380240798926307,2.4529112193534003e-06
14,2.0,False,114,-0.0277148833544329,3.441281669339289e-06,-0.0111547192107569,6.543486912230241e-07,-0.0419285546145249,3.690870531007316e-06
15,5.0,False,14,-0.0159136880090768,4.53204053646461e-07,-0.0038990925813121,3.916841464102899e-08,-0.0211933288780395,4.779913422587896e-07
16,5.0,False,38,-0.0155183087969724,7.699941823944329e-07,-0.0050035955714249,7.840368478923226e-08,-0.0220483591439596,8.135059694562981e-07
17,5.0,False,54,-0.0151527936860244,7.724176703614543e-07,-0.0050104621420318,8.749881805672362e-08,-0.0216724648336621,8.172567852026957e-07
18,5.0,False,66,-0.0160561073331482,7.726720986157217e-07,-0.0056102017114278,1.755778214548613e-07,-0.0233106446679475,8.360540698819567e-07
19,5.0,False,114,-0.0170208239933968,9.290477137061688e-07,-0.0061104258035039,3.710734985269927e-07,-0.0248988548670961,1.0647548061849811e-06
