,rs,baldereschi,N,diff_E_CCSDT_DCSD_corr_cbs_pe,diff_E_CCSDT_DCSD_corr_cbs_pe_err
0,0.5,False,14,-0.000185189501987,2.4451228585305944e-06
1,0.5,False,38,-0.0003264462378287,1.4188665508936009e-05
2,0.5,False,54,-0.0003194330517034,1.551231983648573e-05
3,0.5,False,66,-0.0005424052584097,0.0001147661795333
4,0.5,False,114,-0.0006391542809124,0.00013213795296
5,1.0,False,14,-0.0004874901851895,5.310443534883315e-06
6,1.0,False,38,-0.0007680953691316,3.0204519041579547e-05
7,1.0,False,54,-0.0007810454344246,3.084330830592394e-05
8,1.0,False,66,-0.0011248944006488,0.0001744166249011
9,1.0,False,114,-0.0012488407804388,0.0001869475992854
10,2.0,False,14,-0.0009559468237635,7.397681112960761e-06
11,2.0,False,38,-0.001341344559743,5.128667449817928e-05
12,2.0,False,54,-0.0014099858271026,7.131242732102565e-05
13,2.0,False,66,-0.0017471283625763,0.0001676855086379
14,2.0,False,114,-0.0018434092187443,0.0001716854504185
15,5.0,False,14,-0.0012792708394703,5.080394134471559e-06
16,5.0,False,38,-0.0016143229443525,7.951442873417725e-05
17,5.0,False,54,-0.0017316886430344,0.000132725159842
18,5.0,False,66,-0.0018866478349744,0.000136168756679
