,rs,baldereschi,N,diff_E_CCSDT_ring_DCSD_corr_cbs_pe,diff_E_CCSDT_ring_DCSD_corr_cbs_pe_err
0,1.0,1.0,14,-0.0001891621428724,8.919659275067238e-07
1,1.0,1.0,34,-0.0004716860951546,1.279514262332084e-05
2,1.0,1.0,70,-0.0007091546185485,2.878684412769148e-05
3,1.0,1.0,156,-0.0008353197018822,8.047776355626856e-05
4,2.0,1.0,14,-0.000338094937361,2.6632678323673664e-06
5,2.0,1.0,34,-0.0007117359931694,2.282600937837954e-05
6,2.0,1.0,70,-0.0009938131014404,3.9935737349753225e-05
7,2.0,1.0,156,-0.0011260861407258,7.838842984125365e-05
8,3.0,1.0,14,-0.0003897024733627,4.477658354322628e-06
9,3.0,1.0,34,-0.0007770242869584,2.672475078348608e-05
10,3.0,1.0,70,-0.0010565389723348,4.170315242891513e-05
11,3.0,1.0,156,-0.0011705935765145,5.206273899371465e-05
12,4.0,1.0,14,-0.0003923046896622,6.007047510044115e-06
13,4.0,1.0,34,-0.0007756413444925,2.7676404080871717e-05
14,4.0,1.0,70,-0.0010426417597936,4.043443654696661e-05
15,4.0,1.0,156,-0.0011582820182889,5.145050846111353e-05
16,5.0,1.0,14,-0.0003745766781632,7.20415854150758e-06
17,5.0,1.0,34,-0.0007491490966437,2.751308432230244e-05
18,5.0,1.0,70,-0.0010016082113387,3.837651222654994e-05
19,5.0,1.0,156,-0.0011152114186728,4.958859456203576e-05
