,rs,baldereschi,N,diff_E_CCSDT_ring_DCSD_corr_cbs_pe,diff_E_CCSDT_ring_DCSD_corr_cbs_pe_err
0,0.5,False,14,-0.0001363839371098,5.417476013106989e-07
1,0.5,False,38,-0.0002417107763128,2.317274266448105e-06
2,0.5,False,54,-0.0002580637175678,7.513235361951676e-06
3,0.5,False,66,-0.0004065707222853,5.122032475704704e-05
4,0.5,False,114,-0.0004101410119653,6.975815456462295e-05
5,1.0,False,14,-0.0002872715823146,1.667781466218785e-06
6,1.0,False,38,-0.0004868547165593,3.241907718237152e-06
7,1.0,False,54,-0.00055404617922,1.0846474588367834e-05
8,1.0,False,66,-0.0007397407705318,7.159992071541419e-05
9,1.0,False,114,-0.0007169587133062,8.052951558386328e-05
10,2.0,False,14,-0.0004163227735961,4.214884129512871e-06
11,2.0,False,38,-0.0007303565637744,4.236226897486142e-06
12,2.0,False,54,-0.0008535362842728,9.225950284732235e-06
13,2.0,False,66,-0.0010131478717149,6.020899723187148e-05
14,2.0,False,114,-0.0009743453402174,6.0746650808510216e-05
15,5.0,False,14,-0.0003543106748106,9.021423194837144e-06
16,5.0,False,38,-0.0007727895543752,9.346419662939733e-06
17,5.0,False,54,-0.0008806756173451,1.2558868339998024e-05
18,5.0,False,66,-0.0009902951030962,2.330029562037621e-05
19,5.0,False,114,-0.0009806085038587,2.6842540528952152e-05
