,rs,baldereschi,N,diff_E_DCSDT_DCSD_corr_cbs_pe,diff_E_DCSDT_DCSD_corr_cbs_pe_err
0,1.0,1.0,14,-0.0002798142940929,2.8585110944293708e-06
1,1.0,1.0,34,-0.0007629758708972,2.307628709626857e-05
2,1.0,1.0,70,-0.0011091319102792,8.970917176404184e-05
3,1.0,1.0,156,-0.0012347984225103,9.132274255051368e-05
4,2.0,1.0,14,-0.0006698191911188,4.361777844415541e-06
5,2.0,1.0,34,-0.0014754794118893,2.3294263964689497e-05
6,2.0,1.0,70,-0.0019276237439499,8.064155810960846e-05
7,2.0,1.0,156,-0.002077630444688,8.30271157219334e-05
8,3.0,1.0,14,-0.00096824030111,4.002417282330671e-06
9,3.0,1.0,34,-0.0018685427075767,1.1640759841801784e-05
10,3.0,1.0,70,-0.0023087413599171,4.605048287984032e-05
11,3.0,1.0,156,-0.0024498326229662,4.850383051529842e-05
12,4.0,1.0,14,-0.0011664154095597,3.0326530468249846e-06
13,4.0,1.0,34,-0.0020549379000369,4.59308359948012e-06
14,4.0,1.0,70,-0.0024526229606778,1.697074257318876e-05
15,4.0,1.0,156,-0.0025778075980329,3.091332558771501e-05
16,5.0,1.0,14,-0.0012881532114398,2.0651110262288885e-06
17,5.0,1.0,34,-0.0021199757944642,1.185912297736792e-05
18,5.0,1.0,70,-0.0024515661422336,5.354301114227647e-05
19,5.0,1.0,156,-0.0025349733468459,5.475257375346036e-05
