,rs,baldereschi,N,diff_E_DCSDT_DCSD_corr_cbs_pe,diff_E_DCSDT_DCSD_corr_cbs_pe_err
0,0.5,False,14,-0.0001875067515251,2.450987278230772e-06
1,0.5,False,38,-0.0003334319408948,1.4385826696731975e-05
2,0.5,False,54,-0.0003231619400341,1.5838939672705342e-05
3,0.5,False,66,-0.0005577778306612,0.0001181394847323
4,0.5,False,114,-0.0006767281281002,0.0001377163763256
5,1.0,False,14,-0.000506541121813,5.311115599652711e-06
6,1.0,False,38,-0.0008122407384076,3.139126575250976e-05
7,1.0,False,54,-0.0008093094179157,3.1762733975215484e-05
8,1.0,False,66,-0.0012043204392602,0.0001900904322039
9,1.0,False,114,-0.0013961348834138,0.00020828489896
10,2.0,False,14,-0.0010574796109855,7.135288630039918e-06
11,2.0,False,38,-0.0015199957117728,5.582635668142279e-05
12,2.0,False,54,-0.0015471989378846,7.484471530222868e-05
13,2.0,False,66,-0.0020143220253955,0.0002060605152171
14,2.0,False,114,-0.0022395504557644,0.000218856844435
15,5.0,False,14,-0.0016638413949116,3.1197125984270928e-06
16,5.0,False,38,-0.002122902032359,8.407896050833299e-05
17,5.0,False,54,-0.0021920113062711,0.0001566208979028
18,5.0,False,66,-0.0025128816511329,0.0003881447478823
