,a,kpts,basis,Nk_str_x,Nk_str_y,Nk_str,E_HF_x,E_HF_y,E_HF,E_CCSD_corr,E_CCSD,E_DCSD_corr,E_DCSD,E_CCSD(T)_corr,E_CCSDT1b_ring_corr,E_CCSDT_corr,E_DCSDT_corr,note_x,note_y,note
1,3.35,221,qzv3p,,221.0,,-14.901312278620468,-14.90131229383925,-14.901312294283334,-0.05602398832575655,-14.957336266946225,-0.06222984209444255,-14.963542135933693,-0.0629615387489276,-0.06588469783026885,-0.06335484790345668,-0.0647076377654645,,,
0,3.35,221,tzv2p,221.0,221.0,,-14.900574951927034,-14.900574952004563,-14.900574979038915,-0.05589760775203813,-14.956472559679073,-0.06209778391024862,-14.962672735914811,-0.0627733103689615,-0.06565901395338238,-0.06318306567036187,-0.0645313696691047,,,
2,3.35,222,dzvp,,222.0,,-14.845084855395463,-14.84508486616854,,-0.04915159870303563,-14.894236454098499,-0.0533073346516724,-14.898392200820211,-0.055807294691138085,-0.05697742586569712,-0.056049956355709876,,,,
26,3.35,222,qzv3p,,,,-14.854052423530428,-14.854052418848685,,-0.04955713002084014,-14.903609553551268,-0.05377005994603729,-14.907822478794722,,-0.05777000906499414,-0.05663938186337754,,est. with frozen NO via 221 with thresh 5e-05,est. with frozen NO via 221 with thresh 5e-05,
25,3.35,222,tzv2p,,,,-14.85334579380718,-14.85334579381314,,-0.049410679764866905,-14.902756473572046,-0.05360210508496166,-14.906947898898103,,-0.057475493229099346,-0.056431549707766225,,est. with frozen NO via 221 with thresh 4e-05,est. with frozen NO via 221 with thresh 4e-05,
4,3.4,221,qzv3p,,221.0,,-14.901643254761415,-14.901643254762867,-14.901643260641116,-0.05535324641571693,-14.956996501177132,-0.0615042201078672,-14.963147474870734,-0.062237478417223976,-0.06509501616902255,-0.06263950688777847,-0.06398178459474442,,,
3,3.4,221,tzv2p,221.0,221.0,,-14.900878953048618,-14.900878886649746,-14.900878973894137,-0.055228355719814125,-14.956107308768432,-0.06137385197695985,-14.962252738626706,-0.06205199967397325,-0.06487406007122627,-0.062469511366805675,-0.06381072587669075,,,
5,3.4,222,dzvp,,222.0,,-14.846075533079025,-14.846075539040095,,-0.048646047890507874,-14.894721580969533,-0.05277389274228227,-14.898849431782377,-0.05528457298445049,-0.05644011210877164,-0.0555130656359628,,,,
28,3.4,222,qzv3p,,,,-14.854995290678165,-14.854995289817696,,-0.049396879166389254,-14.904392169844554,-0.05360014684052057,-14.908595436658215,,-0.05706463779009097,-0.056294662664699596,,est. with frozen NO via 221 with thresh 5e-05,est. with frozen NO via 221 with thresh 5e-05,
27,3.4,222,tzv2p,,,,-14.854283876783155,-14.85428388355358,,-0.04890742881317723,-14.903191305596334,-0.053070943079514155,-14.907354826633092,,-0.05693417738191791,-0.05589516207926803,,est. with frozen NO via 221 with thresh 4e-05,est. with frozen NO via 221 with thresh 4e-05,
