,a,Nk_str,E_HF,KMP2 corr,do_dcsd,E_DCSD_corr,kpts,basis,E_DCSD,note
0,3.35,222,-14.857830921222916,-0.0959286590981302,True,-0.1134750787391131,222,dzvp,-14.971305999962029,
1,3.35,222,-14.864903114559027,-0.1110049813970211,True,-0.1276167730657567,222,tzv2p,-14.992519887624784,
2,3.35,222,-14.865392473347498,-0.1167346541553651,True,-0.1334447086391492,222,qzv3p,-14.998837181986648,
3,3.35,333,-14.835346300197886,-0.1186392773852889,True,-0.123221112586695,333,dzvp,-14.95856741278458,
4,3.35,333,-14.84220983207326,-0.134222094394821,True,-0.1375574328607674,333,tzv2p,-14.979767264934027,
5,3.4,222,-14.85873439963516,-0.0953624196923351,True,-0.1128274842950957,222,dzvp,-14.971561883930256,
6,3.4,222,-14.865719490333166,-0.1103765902674559,True,-0.1269242790490824,222,tzv2p,-14.99264376938225,
7,3.4,222,-14.866208829048816,-0.1160899465055587,True,-0.1327481456133794,222,qzv3p,-14.998956974662194,
8,3.4,333,-14.836636367349731,-0.1177397884173817,True,-0.1224140334538901,333,dzvp,-14.959050400803621,
9,3.4,333,-14.843426532991073,-0.1332422527672304,True,-0.136694715467885,333,tzv2p,-14.980121248458957,
10,3.45,222,-14.85934209479299,-0.0948176450612407,True,-0.1122021129186776,222,dzvp,-14.971544207711666,
11,3.45,222,-14.866253055426393,-0.1097706928432219,True,-0.1262551923608685,222,tzv2p,-14.992508247787262,
12,3.45,222,-14.86674324674755,-0.1154685264164273,True,-0.1320756510715312,222,qzv3p,-14.998818897819081,
13,3.45,333,-14.83761551716232,-0.1168764257529432,True,-0.1216357672398075,333,dzvp,-14.959251284402127,
14,3.45,333,-14.844345676552528,-0.1322984691984842,True,-0.1358615763634086,333,tzv2p,-14.980207252915937,
15,3.5,222,-14.85967510074889,-0.0942933657418528,True,-0.1115978309007223,222,dzvp,-14.971272931649612,
16,3.5,222,-14.866529971277837,-0.1091860926223187,True,-0.1256082665645323,222,tzv2p,-14.992138237842369,
17,3.5,222,-14.867022646871728,-0.1148692254244692,True,-0.131425917877421,222,qzv3p,-14.998448564749149,
18,3.5,333,-14.838305612239706,-0.1160474829515287,True,-0.1208849336664709,333,dzvp,-14.959190545906177,
19,3.5,333,-14.844994204310106,-0.1313888386106013,True,-0.1350564107439067,333,tzv2p,-14.980050615054013,
20,3.5,444,-14.8310469786267,,,-0.1242419695726274,444,dzvp,-14.955288948199328,estimated from frozen NO via 333 with thresh 2e-3
21,3.55,222,-14.859751156761792,-0.0937887766931838,True,-0.1110138965986621,222,dzvp,-14.970765053360454,
22,3.55,222,-14.86657353075948,-0.1086217632502014,True,-0.1249823086895042,222,tzv2p,-14.991555839448983,
23,3.55,222,-14.867071455461296,-0.1142905941069756,True,-0.1307976198608021,222,qzv3p,-14.997869075322098,
24,3.55,333,-14.83872508529612,-0.1152515039192406,True,-0.1201603512948712,333,dzvp,-14.958885436590991,
25,3.55,333,-14.845396085712956,-0.1305116270663119,True,-0.1342777364601469,333,tzv2p,-14.979673822173103,
26,3.6,222,-14.859584845611003,-0.0933032654374998,True,-0.1104495848641123,222,dzvp,-14.970034430475115,
27,3.6,222,-14.866404351588262,-0.1080767993225669,True,-0.1243762022232616,222,tzv2p,-14.990780553811524,
28,3.6,222,-14.866911759242187,-0.1137315758758046,True,-0.1301894263072479,222,qzv3p,-14.997101185549436,
29,3.6,333,-14.838889149837842,-0.1144872612379264,True,-0.1194610212932277,333,dzvp,-14.95835017113107,
30,3.6,333,-14.845572563696564,-0.1296653431361137,True,-0.1335242882185135,333,tzv2p,-14.979096851915077,
31,3.65,222,-14.859187778516684,-0.0928363717747258,True,-0.1099043805448024,222,dzvp,-14.969092159061487,
32,3.65,222,-14.866040483580854,-0.1075504294756643,True,-0.1237890825896726,222,tzv2p,-14.989829566170526,
33,3.65,222,-14.86656357622768,-0.1131911576206999,True,-0.1296002719162607,222,qzv3p,-14.99616384814394,
34,3.65,333,-14.838810011350748,-0.1137537657361416,True,-0.1187861387173732,333,dzvp,-14.957596150068122,
35,3.65,333,-14.845542284606092,-0.1288486538772703,True,-0.1327949064204795,333,tzv2p,-14.97833719102657,
