,a,nshells,box_length,E_HF,E_DCSD_corr,kpts,basis,E_DCSD
0,3.35,2,50,-7.388936869929211,-0.0319423421055918,000,dzvp,-7.420879212034802
1,3.35,2,50,-7.391896139696461,-0.0383514187471198,000,tzv2p,-7.430247558443581
2,3.35,2,50,-7.392740906302644,-0.0409038194322814,000,qzv3p,-7.433644725734926
3,3.4,2,50,-7.388761307756268,-0.0319255099511657,000,dzvp,-7.420686817707434
4,3.4,2,50,-7.391855930467772,-0.038342745529737,000,tzv2p,-7.4301986759975085
5,3.4,2,50,-7.392730973565067,-0.0409028229488425,000,qzv3p,-7.433633796513909
6,3.45,2,50,-7.388563070483464,-0.0319088597967234,000,dzvp,-7.420471930280187
7,3.45,2,50,-7.391808909551785,-0.0383342069998078,000,tzv2p,-7.4301431165515925
8,3.45,2,50,-7.392719361417658,-0.0409019164567203,000,qzv3p,-7.433621277874378
9,3.5,2,50,-7.388340121121972,-0.0318924577292533,000,dzvp,-7.420232578851226
10,3.5,2,50,-7.391754241414073,-0.0383258240947718,000,tzv2p,-7.430080065508845
11,3.5,2,50,-7.392705819274399,-0.0409011133210478,000,qzv3p,-7.433606932595446
12,3.55,1,50,-7.382993885405165,-0.0318917860192467,000,dzvp,-7.414885671424412
13,3.55,2,50,-7.388090228358031,-0.0318763646700156,000,dzvp,-7.419966593028047
14,3.55,2,50,-7.391690995790263,-0.0383176307095731,000,tzv2p,-7.430008626499836
15,3.55,2,50,-7.392690069254617,-0.0409004267511965,000,qzv3p,-7.433590496005814
16,3.55,3,50,-7.389711907661033,-0.0318904119358242,000,dzvp,-7.421602319596857
17,3.6,2,50,-7.3878109740606,-0.0318606364317658,000,dzvp,-7.419671610492366
18,3.6,2,50,-7.391618136215319,-0.0383096705177965,000,tzv2p,-7.429927806733116
19,3.6,2,50,-7.392671799490605,-0.0408998709787087,000,qzv3p,-7.4335716704693136
20,3.65,2,50,-7.387499766748094,-0.0318453239619706,000,dzvp,-7.419345090710065
21,3.65,2,50,-7.391534510152516,-0.0383019942699947,000,tzv2p,-7.429836504422511
22,3.65,2,50,-7.392650657265701,-0.0408994621183827,000,qzv3p,-7.433550119384084
