,rs,baldereschi,N,M,E_CCSD_corr,E_CCSD_s_corr,E_CCSD_os_corr,E_CCSDT_corr,E_CCSDT_s_corr,E_CCSDT_os_corr,E_dRPA_ks_corr,E_DCSD_corr,E_DCSD_s_corr,E_DCSD_os_corr,E_DCSDT_corr,E_DCSDT_s_corr,E_DCSDT_os_corr,E_CCSDT_ring_corr,E_CCSDT_ring_s_corr,E_CCSDT_ring_os_corr
0,0.1,True,14,22,-0.0312336764965252,-0.0067479476155903,-0.0244857288809348,-0.0312347324836032,-0.0067483844866257,-0.0244863479969775,,-0.0312344861601478,-0.0067482702057265,-0.0244862159544212,,,,,,
1,0.1,True,14,34,-0.0786932620981048,-0.0141903236441808,-0.0645029384539239,-0.0786986643397409,-0.0141913862132968,-0.0645072781264441,,-0.0787004157005681,-0.0141921157953837,-0.0645082999051843,,,,,,
2,0.1,True,14,40,-0.1017637228911014,-0.0145345370211314,-0.08722918586997,-0.1017741853633332,-0.0145364437113206,-0.0872377416520125,,-0.1017755911085713,-0.0145369665503456,-0.0872386245582257,,,,,,
3,0.1,True,14,52,-0.1686316439474089,-0.0361252004928367,-0.1325064434545722,-0.1686465086338335,-0.0361280456988813,-0.1325184629349521,,-0.1686517411229458,-0.0361300058465518,-0.1325217352763939,,,,,,
4,0.1,True,14,70,-0.3049275715661146,-0.079017220782036,-0.2259103507840785,-0.3049634212459536,-0.079025326033478,-0.2259380952124756,,-0.304971665483245,-0.0790294752328286,-0.2259421902504163,,,,,,
5,0.1,True,14,76,-0.3375518633098635,-0.0839698413570801,-0.2535820219527833,-0.3376076101753678,-0.0839838524918988,-0.2536237576834689,,-0.3376011243637768,-0.0839834325280641,-0.2536176918357127,,,,,,
6,0.1,True,14,90,-0.3564071068812434,-0.0879167259303637,-0.2684903809508797,-0.3564750875329158,-0.0879346923510645,-0.2685403951818512,,-0.3564593034049569,-0.087931088151055,-0.2685282152539019,,,,,,
7,0.1,True,14,108,-0.3816091382991707,-0.0937185862959142,-0.2878905520032564,-0.3816939137625659,-0.0937418845034444,-0.2879520292591215,,-0.3816653421504126,-0.0937340343970103,-0.2879313077534022,,,,,,
8,0.1,True,14,120,-0.3857025224569278,-0.0938212840673167,-0.291881238389611,-0.3857915455687631,-0.0938458595448944,-0.2919456860238687,,-0.3857592335378088,-0.0938368505042921,-0.2919223830335166,,,,,,
9,0.1,True,14,138,-0.4038800925809324,-0.0976255247417129,-0.3062545678392194,-0.4039799192476098,-0.0976537901159483,-0.3063261291316614,,-0.4039398344358451,-0.0976419110806455,-0.3062979233551995,,,,,,
10,0.1,True,14,156,-0.4118370123381629,-0.0984239350194093,-0.3134130773187535,-0.4119436071294496,-0.0984542376555129,-0.3134893694739368,,-0.4118979086002499,-0.0984405982257137,-0.3134573103745361,,,,,,
11,0.1,True,14,168,-0.4134701134795623,-0.0985078455809793,-0.314962267898583,-0.41357809704359,-0.0985386035642636,-0.3150394934793264,,-0.4135312112976633,-0.0985245564556592,-0.3150066548420041,,,,,,
12,0.1,True,14,180,-0.4205830356190536,-0.0996829075582049,-0.3209001280608486,-0.4206951607153632,-0.0997152051371318,-0.3209799555782313,,-0.420645142156883,-0.0996998711088781,-0.3209452710480049,,,,,,
13,0.1,True,14,210,-0.4293348410295812,-0.100599893090642,-0.3287349479389391,-0.4294522541920628,-0.1006341430918013,-0.3288181111002615,,-0.4293981266026653,-0.100617138785196,-0.3287809878174693,,,,,,
