,rs,baldereschi,N,M,E_CCSD_corr,E_CCSD_s_corr,E_CCSD_os_corr,E_CCSDT_corr,E_CCSDT_s_corr,E_CCSDT_os_corr,E_DCSD_corr,E_DCSD_s_corr,E_DCSD_os_corr,E_DCSDT_corr,E_DCSDT_s_corr,E_DCSDT_os_corr,E_CCSDT_ring_corr,E_CCSDT_ring_s_corr,E_CCSDT_ring_os_corr
0,0.5,False,14,38,-0.3161153947573742,-0.0761291751609392,-0.239986219596435,-0.3165381625962457,-0.0762158205837203,-0.2403223420125254,-0.3181044832882095,-0.0767396633970655,-0.2413648198911439,-0.3165405071230596,-0.0762163789067188,-0.2403241282163407,,,
1,0.5,False,14,54,-0.3589655711347721,-0.0809914653358826,-0.2779741057988895,-0.3609740135139424,-0.0815015982320485,-0.2794724152818939,-0.3611235902915897,-0.0816421135021135,-0.2794814767894761,-0.3609856846192333,-0.0815048572054914,-0.2794808274137419,-0.3605993425881513,-0.0814085973237291,-0.2791907452644222
2,0.5,False,14,66,-0.4498148650816911,-0.1150605362116396,-0.3347543288700515,-0.4523906436294337,-0.1157578107812796,-0.3366328328481541,-0.4527668865611869,-0.1159577238097329,-0.336809162751454,-0.4524072979080271,-0.1157626306779578,-0.3366446672300692,-0.4519275487197718,-0.1156347865826156,-0.3362927621371562
3,0.5,False,14,114,-0.5120153490671862,-0.1310716398087916,-0.3809437092583945,-0.5168075079585547,-0.1324790680557091,-0.3843284399028455,-0.5152964991748994,-0.1320594301657073,-0.3832370690091921,-0.5168356599465296,-0.1324877515532543,-0.3843479083932751,-0.5160628386743576,-0.132262967807227,-0.3837998708671306
4,0.5,False,14,162,-0.5476011072710871,-0.1353408811316374,-0.4122602261394497,-0.5530829719657543,-0.1370056812658889,-0.4160772906998653,-0.5510740689414049,-0.1363782444679161,-0.4146958244734888,-0.5531136418678473,-0.1370153722120017,-0.4160982696558454,-0.5523162546676383,-0.1367750150031138,-0.4155412396645245
5,0.5,False,14,186,-0.5533296336157996,-0.1358490838045774,-0.4174805498112222,-0.5589300682938694,-0.1375577147299216,-0.4213723535639477,-0.5568275684707042,-0.1368932175218044,-0.4199343509488997,-0.5589610783301422,-0.1375675423429186,-0.4213935359872235,-0.5581650307394181,-0.1373264512133503,-0.4208385795260677
6,0.5,False,14,246,-0.5622035610656828,-0.1367767995654909,-0.4254267615001919,-0.5680342296749894,-0.1385697706602218,-0.4294644590147675,-0.5657354765631107,-0.1378305161897354,-0.4279049603733753,-0.5680658678907801,-0.1385798395999833,-0.4294860282907967,-0.5672716369912023,-0.1383377961737339,-0.4289338408174683
7,0.5,False,14,294,-0.5687413335809355,-0.1377763411549561,-0.4309649924259793,-0.5746847866444301,-0.139616367037183,-0.4350684196072471,-0.572301316305209,-0.1388378776797283,-0.4334634386254806,-0.5747167139349367,-0.1396265612689363,-0.4350901526660004,-0.5739307058608178,-0.1393861157857647,-0.434544590075053
8,0.5,False,14,342,-0.5729645352483903,-0.1382717773007764,-0.4346927579476138,-0.578987446394466,-0.1401425460121563,-0.4388449003823096,-0.5765402426566504,-0.1393378356779112,-0.4372024069787392,-0.5790195548441668,-0.1401528117512567,-0.43886674309291,-0.5782399131987828,-0.1399139559721887,-0.4383259572265939
9,0.5,False,14,358,-0.573680552100154,-0.1382926962456819,-0.4353878558544721,-0.5797176629817675,-0.1401689450695064,-0.4395487179122611,-0.5772585605928993,-0.1393594825925417,-0.4378990780003575,-0.579749796065465,-0.1401792210476833,-0.4395705750177815,-0.5789721461533552,-0.1399409200175801,-0.439031226135775
10,0.5,False,14,406,-0.5757164110882798,-0.1384573987017985,-0.4372590123864812,-0.5817862898816872,-0.1403467669695821,-0.4414395229121051,-0.5793013371140362,-0.1395263351920072,-0.439775001922029,-0.5818184900687619,-0.1403570702597475,-0.4414614198090142,-0.5810453799580247,-0.1401200279025982,-0.4409253520554265
11,0.5,False,14,502,-0.5788138301536889,-0.1386578964858966,-0.4401559336677924,-0.5849343242568457,-0.1405675854267107,-0.4443667388301348,-0.5824088435609089,-0.1397300214539598,-0.4426788221069492,-0.5849666137729346,-0.1405779255643252,-0.4443886882086093,-0.5842023383678739,-0.1403434845872183,-0.4438588537806556
12,0.5,False,14,514,-0.5790649003144511,-0.1386908897622953,-0.4403740105521557,-0.5851891723814752,-0.1406022386512379,-0.4445869337302373,-0.5826607889788862,-0.1397632839620464,-0.4428975050168398,-0.5852214689170804,-0.140612581712247,-0.4446088872048334,-0.5844579167564384,-0.1403783684081363,-0.4440795483483021
13,0.5,False,14,610,-0.5806305928261273,-0.138806524947697,-0.4418240678784302,-0.5867776821931223,-0.1407275718383038,-0.4460501103548184,-0.5842314546913419,-0.1398805346546193,-0.4443509200367225,-0.5868100164428898,-0.1407379306466578,-0.4460720857962318,-0.5860513435128336,-0.140505245323117,-0.4455460981897166
14,0.5,False,14,682,-0.5816391631572799,-0.1388817858286916,-0.4427573773285884,-0.587800516974159,-0.1408089239305142,-0.4469915930436448,-0.5852432068428781,-0.139956833404535,-0.445286373438343,-0.5878328741823483,-0.1408192922225984,-0.4470135819597498,-0.5870774841234081,-0.1405876480375866,-0.4464898360858214
15,0.5,False,14,730,-0.5821661276361257,-0.1389039769720662,-0.4432621506640595,-0.5883344289096413,-0.1408340978102806,-0.4475003310993606,-0.5857717505548377,-0.1399795635293066,-0.4457921870255309,-0.5883667966319235,-0.140844470570159,-0.4475223260617644,-0.5876131817916797,-0.1406133846426102,-0.4469997971490694
16,0.5,False,14,778,-0.58264188878759,-0.1389370338617471,-0.4437048549258429,-0.5888162362230888,-0.1408698197001114,-0.4479464165229773,-0.5862489897185608,-0.1400131190888819,-0.4462358706296788,-0.588848613839523,-0.140880196525641,-0.447968417313882,-0.5880965654639242,-0.1406496163499484,-0.4474469491139757
17,0.5,False,14,874,-0.5834617326558229,-0.1389855264802121,-0.4444762061756108,-0.5896460807739119,-0.1409227128069148,-0.448723367966997,-0.5870713204249305,-0.1400624519007448,-0.4470088685241856,-0.5896784742459076,-0.14093309614229,-0.4487453781036176,-0.5889291598378861,-0.1407033997626737,-0.4482257600752123
18,0.5,False,14,922,-0.5837589304785106,-0.1389937828982879,-0.4447651475802226,-0.5899475122855123,-0.140932842234301,-0.4490146700512113,-0.5873693675606695,-0.1400710102451561,-0.4472983573155133,-0.5899799107684136,-0.1409432277498592,-0.4490366830185544,-0.5892318041496063,-0.1407139296790941,-0.4485178744705121
19,0.5,False,14,970,-0.5840103253493067,-0.1390049077137612,-0.4450054176355456,-0.5902017642868921,-0.1409452598619305,-0.4492565044249615,-0.5876214965663753,-0.1400823922667938,-0.4475391042995814,-0.5902341670857918,-0.1409556471611456,-0.4492785199246462,-0.5894869213403637,-0.1407266320197286,-0.448760289320635
20,0.5,False,14,1030,-0.5842629087059217,-0.1390182758293176,-0.4452446328766041,-0.5904572696450221,-0.140959968933988,-0.4494973007110341,-0.5878748217160654,-0.1400960248859027,-0.4477787968301626,-0.5904896768322998,-0.1409703580222446,-0.4495193188100551,-0.5897433245481569,-0.1407416384986536,-0.4490016860495033
21,0.5,False,14,1174,-0.5848324516686074,-0.1390462339507601,-0.4457862177178473,-0.5910333468956455,-0.1409909185637205,-0.4500424283319249,-0.5884460242231309,-0.1401245688216553,-0.4483214554014755,-0.5910657637705167,-0.1410013115560914,-0.4500644522144252,-0.5903214430725565,-0.1407732709253504,-0.4495481721472061
22,0.5,False,14,1238,-0.5850512719135139,-0.13905744294333,-0.4459938289701839,-0.5912549629952777,-0.1410034037295883,-0.4502515592656894,-0.588665476631197,-0.1401359995226283,-0.4485294771085685,-0.5912873834358465,-0.1410137981591868,-0.4502735852766597,-0.590543933554559,-0.1407860540161126,-0.4497578795384464
23,0.5,False,14,1382,-0.585446009192177,-0.1390724473760878,-0.4463735618160892,-0.5916539896200133,-0.1410204219568299,-0.4506335676631833,-0.5890613365921951,-0.1401514114994159,-0.4489099250927791,-0.591686431113547,-0.1410308147010737,-0.4506556164124732,-0.5909444245622233,-0.1408035619708043,-0.450140862591419
24,0.5,False,14,1478,-0.5856937945273686,-0.1390839362243425,-0.446609858303026,,,,-0.5893098329970388,-0.1401631539854848,-0.4491466790115539,,,,-0.591195945236848,-0.1408166753973621,-0.4503792698394859
25,0.5,False,14,1502,-0.5857367632041849,-0.1390852664346827,-0.4466514967695021,,,,-0.5893529210319244,-0.1401645291933829,-0.4491883918385414,,,,-0.5912395566762607,-0.1408182874340124,-0.4504212692422482
26,0.5,False,14,1598,-0.5859090853209401,-0.1390908546911343,-0.4468182306298058,,,,-0.5895257227312225,-0.1401702937520759,-0.4493554289791465,,,,-0.591414235124702,-0.1408249131344635,-0.4505893219902385
27,0.5,False,14,1694,-0.5860577761301414,-0.1390954227295605,-0.4469623534005809,,,,-0.5896748248038507,-0.1401750156284966,-0.449499809175354,,,,-0.5915652277836811,-0.1408304987539374,-0.4507347290297436
28,0.5,False,14,1790,-0.5862092260633827,-0.1391007056666588,-0.4471085203967238,,,,-0.5898266996329733,-0.1401804546365055,-0.4496462449964677,,,,-0.5917187117068854,-0.1408366815537284,-0.450882030153157
29,0.5,False,14,1850,-0.5862861160834321,-0.1391030062218397,-0.4471831098615924,,,,-0.5899038006315118,-0.1401828344347204,-0.4497209661967914,,,,-0.5917967785407721,-0.1408395050210881,-0.4509572735196839
30,0.5,False,14,1898,-0.5863410410570439,-0.1391058094015533,-0.4472352316554905,,,,-0.5899588799585009,-0.1401856946198589,-0.449773185338642,,,,-0.5918525199976024,-0.1408426725858772,-0.451009847411725
31,0.5,False,14,2042,-0.5865086593971408,-0.1391115298621841,-0.4473971295349567,,,,-0.5901269620315157,-0.1401915868265804,-0.4499353752049352,,,,-0.5920224475525397,-0.1408494240285968,-0.4511730235239429
32,0.5,False,14,2090,-0.5865545206201299,-0.1391133636972383,-0.4474411569228915,,,,-0.5901729514082097,-0.1401934689691959,-0.4499794824390137,,,,-0.5920689414817,-0.1408515428385488,-0.4512173986431511
33,0.5,False,14,2282,-0.5867213538279008,-0.139118291409983,-0.4476030624179178,,,,-0.5903402394892665,-0.1401985684683662,-0.4501416710209003,,,,-0.5922381841510509,-0.1408575522105067,-0.4513806319405441
34,0.5,False,14,2378,-0.5868011207194895,-0.1391202756641036,-0.4476808450553859,,,,-0.5904202231859133,-0.1402006347692505,-0.4502195884166627,,,,-0.5923190530408583,-0.1408600312604185,-0.4514590217804397
35,0.5,False,14,2426,-0.5868374862676711,-0.1391211341315543,-0.4477163521361167,,,,-0.5904566867963732,-0.1402015305147073,-0.4502551562816659,,,,-0.5923559135320553,-0.1408611134295402,-0.4514948001025151
36,0.5,False,14,2474,-0.5868719529976064,-0.1391221972721584,-0.4477497557254479,,,,-0.5904912472954986,-0.1402026289501631,-0.4502886183453354,,,,-0.5923908472809423,-0.1408623885029087,-0.4515284587780334
37,0.5,False,14,2618,-0.5869676445425231,-0.139124615427313,-0.44784302911521,,,,-0.5905871985598843,-0.1402051465641071,-0.4503820519957772,,,,-0.5924878319029172,-0.1408653929207817,-0.4516224389821355
38,0.5,False,14,2714,-0.5870299935694524,-0.1391263929919761,-0.4479036005774762,,,,-0.5906497179395703,-0.1402069885085348,-0.4504427294310355,,,,-0.5925510249750354,-0.1408675530555804,-0.451683471919455
39,0.5,False,14,2730,-0.5870371301382534,-0.1391264702975257,-0.4479106598407276,,,,-0.590656872687507,-0.1402070729743677,-0.4504497997131392,,,,-0.5925582869241617,-0.1408676871260538,-0.4516905997981078
40,0.5,False,14,2838,-0.5870915682402441,-0.1391279367582589,-0.4479636314819852,,,,-0.5907114575919761,-0.140208595670115,-0.4505028619218609,,,,-0.5926134198412387,-0.1408694716547852,-0.4517439481864534
41,0.5,False,14,3006,-0.5871660157188461,-0.1391297095796946,-0.4480363061391514,,,,-0.5907861034209076,-0.1402104454838247,-0.4505756579370828,,,,-0.592688925261844,-0.1408717273468755,-0.4518171979149684
42,0.5,False,14,3102,-0.5872071952150568,-0.1391307625992126,-0.4480764326158443,,,,-0.5908273928291703,-0.1402115405873217,-0.4506158522418485,,,,-0.5927306798382324,-0.140873041947978,-0.4518576378902543
43,0.5,False,14,3150,-0.587226446197112,-0.139131263891003,-0.448095182306109,,,,-0.5908466958118783,-0.1402120622723921,-0.4506346335394861,,,,-0.5927501986391571,-0.1408736657963867,-0.4518765328427704
44,0.5,False,14,3294,-0.5872840035644298,-0.1391327323859817,-0.448151271178448,,,,-0.5909044085215638,-0.1402135907313449,-0.4506908177902188,,,,-0.592808496046134,-0.1408754736556862,-0.4519330223904476
45,0.5,False,14,3486,-0.5873549995332829,-0.1391343940883209,-0.4482206054449619,,,,-0.5909755937943616,-0.1402153253824377,-0.4507602684119238,,,,-0.5928804743797997,-0.1408775856157077,-0.452002888764092
46,0.5,False,14,3582,-0.5873884607002022,-0.1391350870293201,-0.4482533736708821,,,,-0.5910091446127193,-0.1402160530205244,-0.4507930915921948,,,,-0.5929143330893115,-0.1408784625397469,-0.4520358705495646
47,0.5,False,14,3678,-0.5874168152932646,-0.1391356360291143,-0.4482811792641503,,,,-0.5910375734276521,-0.1402166309676991,-0.4508209424599528,,,,-0.5929431068000723,-0.1408792041823107,-0.4520639026177616
48,0.5,False,14,3726,-0.5874304135100556,-0.1391359914529372,-0.4482944220571184,,,,-0.5910512081729407,-0.140217000806502,-0.4508342073664387,,,,-0.5929568937982919,-0.1408796464893696,-0.4520772473089223
49,0.5,False,14,3870,-0.5874714715121483,-0.1391368324211122,-0.4483346390910361,,,,-0.5910923753107982,-0.1402178841693158,-0.4508744911414822,,,,-0.5929985001175729,-0.1408807405652005,-0.4521177595523724
50,0.5,False,14,4014,-0.5875070039993957,-0.1391374852563331,-0.4483695187430626,,,,-0.5911280015808217,-0.1402185739657391,-0.4509094276150825,,,,-0.5930344736439533,-0.1408815978959862,-0.4521528757479671
51,0.5,False,14,4206,-0.5875533228322486,-0.1391383747214493,-0.4484149481107993,,,,-0.591174442809824,-0.1402195112207788,-0.4509549315890452,,,,-0.5930814085230253,-0.1408827721860042,-0.452198636337021
52,0.5,False,14,4218,-0.5875551785197257,-0.1391384421692078,-0.4484167363505179,,,,-0.591176303311181,-0.1402195806501294,-0.4509567226610516,,,,-0.5930832938052778,-0.1408828532890671,-0.4522004405162106
